date,cash,stock_value,total_value,positions,benchmark_value
20260401,30314.419966902962,968426.3352693465,998740.7552362494,10,1000000
20260402,30314.419966902962,936389.3879343522,966703.8079012551,10,1000000
20260406,30314.419966902962,951921.7921050445,982236.2120719474,10,1000000
20260407,30314.419966902962,1008199.6445387446,1038514.0645056475,10,1000000
20260408,78338.31458574241,936557.7922230059,1014896.1068087483,10,1000000
20260409,4747.496829300391,1049412.865074128,1054160.3619034283,10,1000000
20260412,2174.4683878004143,1053961.70878423,1056136.1771720306,10,1000000
20260413,2174.4683878004143,1068136.9589146315,1070311.427302432,10,1000000
20260414,2174.4683878004143,1074609.6665329302,1076784.1349207307,10,1000000
20260415,46771.095408398396,1046401.9132861838,1093173.0086945822,10,1000000
20260416,46771.095408398396,1072610.898761802,1119381.9941702003,10,1000000
20260419,46771.095408398396,1084663.0199148431,1131434.1153232416,10,1000000
20260420,54.71580429840833,1129418.2195806487,1129472.935384947,10,1000000
20260421,3732.711490298403,1129813.5832904687,1133546.294780767,10,1000000
20260422,45092.855915354594,1077905.5403054468,1122998.3962208014,10,1000000
20260423,45092.855915354594,1074924.5418949027,1120017.3978102573,10,1000000
20260426,18699.533567154605,1152274.072757471,1170973.6063246254,10,1000000
20260427,2308.5463351545914,1130597.5269073348,1132906.0732424895,10,1000000
20260428,1964.5971031545923,1141820.9128353943,1143785.5099385488,10,1000000
20260429,16176.58949069475,1132085.4679588815,1148262.0574495762,10,1000000
20260505,16176.58949069475,1142874.4388907882,1159051.028381483,10,1000000
20260506,16176.58949069475,1189081.5226893893,1205258.112180084,10,1000000
20260507,3841.133243094766,1194379.9515373302,1198221.0847804248,10,1000000
